订单顺序号,来料顺序号,物料编号,物料名称,来料数量
8,1,6901028339957,云烟(硬细支云龙),1
8,2,6901028201728,芙蓉王(硬细支),1
8,3,6901028224079,金圣(硬滕王阁紫光),1
8,4,6901028180818,黄鹤楼(硬天下名楼),1
8,5,6901028131605,黄山(硬大红方印),1
8,6,6901028223744,黄山(软记忆),1
8,7,6901028160285,黄金叶(软乐途),1
9,1,6901028057110,双喜(硬细支金樽),1
9,2,8888075024037,555(硬冰炫),1
9,3,6901028339957,云烟(硬细支云龙),1
9,4,6901028201728,芙蓉王(硬细支),1
9,5,6901028143554,七匹狼(硬锋芒),1
9,6,6901028111270,南京(硬炫赫门),2
9,7,6901028006415,双喜(硬祥和好日子),2
9,8,6901028191623,芙蓉王(硬闪带细支),2
9,9,6901028224079,金圣(硬滕王阁紫光),1
9,10,6901028145077,娇子(硬宽窄好运细支),1
9,11,6901028180818,黄鹤楼(硬天下名楼),2
9,12,6901028340618,云烟(硬小熊猫16支),1
9,13,6901028131605,黄山(硬大红方印),1
9,14,6901028181457,黄鹤楼(硬峡谷柔情),1
9,15,6901028121736,利群(硬楼外楼中支),1
9,16,6901028223744,黄山(软记忆),1
9,17,8888075043540,建牌(硬HD1细支),1
9,18,6901028211802,七匹狼(硬古田金中支),1
9,19,6901028064934,芙蓉王(硬领航),1
9,20,6901028160285,黄金叶(软乐途),1
9,21,6901028121521,利群(软夜西湖),1
9,22,6901028063821,芙蓉王(硬75mm),1
9,23,6901028057233,双喜(硬城市之光),1
9,24,6901028204835,芙蓉王(硬中支),2
10,1,6901028057110,双喜(硬细支金樽),1
10,2,8888075024037,555(硬冰炫),1
10,3,6901028339957,云烟(硬细支云龙),1
10,4,6901028201728,芙蓉王(硬细支),1
10,5,6901028143554,七匹狼(硬锋芒),1
10,6,6901028111270,南京(硬炫赫门),2
10,7,6901028006415,双喜(硬祥和好日子),2
10,8,6901028191623,芙蓉王(硬闪带细支),2
10,9,6901028224079,金圣(硬滕王阁紫光),1
10,10,6901028145077,娇子(硬宽窄好运细支),1
10,11,6901028180818,黄鹤楼(硬天下名楼),2
10,12,6901028340618,云烟(硬小熊猫16支),1
10,13,6901028131605,黄山(硬大红方印),1
10,14,6901028181457,黄鹤楼(硬峡谷柔情),1
10,15,6901028121736,利群(硬楼外楼中支),1
10,16,6901028223744,黄山(软记忆),1
10,17,8888075043540,建牌(硬HD1细支),1
10,18,6901028211802,七匹狼(硬古田金中支),1
10,19,6901028064934,芙蓉王(硬领航),1
10,20,6901028160285,黄金叶(软乐途),1
10,21,6901028121521,利群(软夜西湖),1
10,22,6901028063821,芙蓉王(硬75mm),1
10,23,6901028057233,双喜(硬城市之光),1
